uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-2.80707e-07,-5.9217e-06,-4.93136e-08,1,0.00936,0.01436,0,0.0075,208
-2.80283e-07,-5.92222e-06,-4.92562e-08,1,0.009405,0.014405,0,0.0075,209
-2.79858e-07,-5.92275e-06,-4.91987e-08,1,0.00945,0.01445,0,0.0075,210
-2.79433e-07,-5.92327e-06,-4.91412e-08,1,0.009495,0.014495,0,0.0075,211
-2.79008e-07,-5.9238e-06,-4.90837e-08,1,0.00954,0.01454,0,0.0075,212
-2.78584e-07,-5.92432e-06,-4.90263e-08,1,0.009585,0.014585,0,0.0075,213
-2.78159e-07,-5.92485e-06,-4.89688e-08,1,0.00963,0.01463,0,0.0075,214
-2.77734e-07,-5.92538e-06,-4.89113e-08,1,0.009675,0.014675,0,0.0075,215
-2.7731e-07,-5.9259e-06,-4.88538e-08,1,0.00972,0.01472,0,0.0075,216
-2.76885e-07,-5.92643e-06,-4.87964e-08,1,0.009765,0.014765,0,0.0075,217
-2.7646e-07,-5.92695e-06,-4.87389e-08,1,0.00981,0.01481,0,0.0075,218
-2.76036e-07,-5.92748e-06,-4.86814e-08,1,0.009855,0.014855,0,0.0075,219
-2.75611e-07,-5.92801e-06,-4.86239e-08,1,0.0099,0.0149,0,0.0075,220
-2.75186e-07,-5.92853e-06,-4.85665e-08,1,0.009945,0.014945,0,0.0075,221
-2.74761e-07,-5.92906e-06,-4.8509e-08,1,0.00999,0.01499,0,0.0075,222
-2.74337e-07,-5.92958e-06,-4.84515e-08,1,0.010035,0.015035,0,0.0075,223
-2.73912e-07,-5.93011e-06,-4.8394e-08,1,0.01008,0.01508,0,0.0075,224
-2.73487e-07,-5.93064e-06,-4.83366e-08,1,0.010125,0.015125,0,0.0075,225
-2.73063e-07,-5.93116e-06,-4.82791e-08,1,0.01017,0.01517,0,0.0075,226
-2.72638e-07,-5.93169e-06,-4.82216e-08,1,0.010215,0.015215,0,0.0075,227
-2.72213e-07,-5.93221e-06,-4.81641e-08,1,0.01026,0.01526,0,0.0075,228
-2.71789e-07,-5.93274e-06,-4.81066e-08,1,0.010305,0.015305,0,0.0075,229
-2.71364e-07,-5.93326e-06,-4.80492e-08,1,0.01035,0.01535,0,0.0075,230
-2.70939e-07,-5.93379e-06,-4.79917e-08,1,0.010395,0.015395,0,0.0075,231
-2.70515e-07,-5.93432e-06,-4.79342e-08,1,0.01044,0.01544,0,0.0075,232
-2.7009e-07,-5.93484e-06,-4.78767e-08,1,0.010485,0.015485,0,0.0075,233
-2.69665e-07,-5.93537e-06,-4.78193e-08,1,0.01053,0.01553,0,0.0075,234
-2.6924e-07,-5.93589e-06,-4.77618e-08,1,0.010575,0.015575,0,0.0075,235
-2.68816e-07,-5.93642e-06,-4.77043e-08,1,0.01062,0.01562,0,0.0075,236
-2.68391e-07,-5.93695e-06,-4.76469e-08,1,0.010665,0.015665,0,0.0075,237
-2.67966e-07,-5.93747e-06,-4.75894e-08,1,0.01071,0.01571,0,0.0075,238
