sigmaEq,uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
3.98416e+06,-3.36617e-07,-5.34749e-06,-5.1826e-08,1,0.007155,0,0.012155,0.0075,159
3.97177e+06,-3.34885e-07,-5.34712e-06,-5.15882e-08,1,0.0072,0,0.0122,0.0075,160
3.95937e+06,-3.33153e-07,-5.34676e-06,-5.13503e-08,1,0.007245,0,0.012245,0.0075,161
3.94834e+06,-3.3148e-07,-5.34641e-06,-5.11588e-08,1,0.00729,0,0.01229,0.0075,162
3.94045e+06,-3.29944e-07,-5.34609e-06,-5.10736e-08,1,0.007335,0,0.012335,0.0075,163
3.93256e+06,-3.28407e-07,-5.34577e-06,-5.09885e-08,1,0.00738,0,0.01238,0.0075,164
3.92466e+06,-3.2687e-07,-5.34545e-06,-5.09033e-08,1,0.007425,0,0.012425,0.0075,165
3.91677e+06,-3.25334e-07,-5.34514e-06,-5.08182e-08,1,0.00747,0,0.01247,0.0075,166
3.90887e+06,-3.23797e-07,-5.34482e-06,-5.0733e-08,1,0.007515,0,0.012515,0.0075,167
3.90098e+06,-3.2226e-07,-5.3445e-06,-5.06478e-08,1,0.00756,0,0.01256,0.0075,168
3.89309e+06,-3.20724e-07,-5.34418e-06,-5.05627e-08,1,0.007605,0,0.012605,0.0075,169
3.88519e+06,-3.19187e-07,-5.34386e-06,-5.04775e-08,1,0.00765,0,0.01265,0.0075,170
3.8773e+06,-3.1765e-07,-5.34354e-06,-5.03924e-08,1,0.007695,0,0.012695,0.0075,171
3.8694e+06,-3.16114e-07,-5.34323e-06,-5.03072e-08,1,0.00774,0,0.01274,0.0075,172
3.86151e+06,-3.14577e-07,-5.34291e-06,-5.02221e-08,1,0.007785,0,0.012785,0.0075,173
3.85361e+06,-3.1304e-07,-5.34259e-06,-5.01369e-08,1,0.00783,0,0.01283,0.0075,174
3.84572e+06,-3.11504e-07,-5.34227e-06,-5.00518e-08,1,0.007875,0,0.012875,0.0075,175
3.83783e+06,-3.09967e-07,-5.34195e-06,-4.99666e-08,1,0.00792,0,0.01292,0.0075,176
3.82993e+06,-3.0843e-07,-5.34164e-06,-4.98814e-08,1,0.007965,0,0.012965,0.0075,177
3.82204e+06,-3.06894e-07,-5.34132e-06,-4.97963e-08,1,0.00801,0,0.01301,0.0075,178
3.81414e+06,-3.05357e-07,-5.341e-06,-4.97111e-08,1,0.008055,0,0.013055,0.0075,179
3.80625e+06,-3.0382e-07,-5.34068e-06,-4.9626e-08,1,0.0081,0,0.0131,0.0075,180
3.79836e+06,-3.02284e-07,-5.34036e-06,-4.95408e-08,1,0.008145,0,0.013145,0.0075,181
3.79046e+06,-3.00747e-07,-5.34004e-06,-4.94557e-08,1,0.00819,0,0.01319,0.0075,182
3.78257e+06,-2.99211e-07,-5.33973e-06,-4.93705e-08,1,0.008235,0,0.013235,0.0075,183
3.77467e+06,-2.97674e-07,-5.33941e-06,-4.92854e-08,1,0.00828,0,0.01328,0.0075,184
3.76678e+06,-2.96137e-07,-5.33909e-06,-4.92002e-08,1,0.008325,0,0.013325,0.0075,185
3.75889e+06,-2.94601e-07,-5.33877e-06,-4.91151e-08,1,0.00837,0,0.01337,0.0075,186
3.75099e+06,-2.93064e-07,-5.33845e-06,-4.90299e-08,1,0.008415,0,0.013415,0.0075,187
3.7431e+06,-2.91527e-07,-5.33813e-06,-4.89447e-08,1,0.00846,0,0.01346,0.0075,188
3.7352e+06,-2.89991e-07,-5.33782e-06,-4.88596e-08,1,0.008505,0,0.013505,0.0075,189
3.72731e+06,-2.88454e-07,-5.3375e-06,-4.87744e-08,1,0.00855,0,0.01355,0.0075,190
3.71942e+06,-2.86917e-07,-5.33718e-06,-4.86893e-08,1,0.008595,0,0.013595,0.0075,191
3.71152e+06,-2.85381e-07,-5.33686e-06,-4.86041e-08,1,0.00864,0,0.01364,0.0075,192
